season,dropback_player_id,player,dropbacks,games,total_epa,epa_per_dropback,positive_epa_rate,sacks,scrambles,penalty_rows,identity_fallbacks
2025,00-0036613,J.Waddle,1,1,-0.5923647911444314,-0.5923647911444314,0.0,0,0,0,0
2025,00-0039164,A.Richardson,2,1,-1.2116199531592429,-0.6058099765796214,0.5,0,0,0,0
2025,00-0040494,M.Brosmer,87,6,-56.73834870177089,-0.652164927606562,0.27586206896551724,14,2,2,0
2025,00-0034577,K.Allen,2,1,-1.3552653677443862,-0.6776326838721931,0.0,0,0,0,0
2025,00-0031237,T.Bridgewater,18,1,-12.51733303326182,-0.6954073907367678,0.1111111111111111,2,1,0,0
2025,00-0033280,C.McCaffrey,1,1,-0.770897071401123,-0.770897071401123,0.0,0,0,0,0
2025,00-0032434,B.Allen,31,1,-24.02839085522935,-0.7751093824267532,0.16129032258064516,1,0,1,0
2025,00-0040259,G.Larvadain,1,1,-0.8114259385038167,-0.8114259385038167,0.0,0,1,0,1
2025,00-0039451,I.Williams,1,1,-0.8187713430379517,-0.8187713430379517,0.0,0,0,0,0
2025,00-0038582,C.Tune,22,2,-18.834403774759267,-0.8561092624890576,0.18181818181818182,5,2,0,0
2025,00-0039577,K.Slovis,2,2,-2.1466314259450883,-1.0733157129725441,0.0,0,0,0,0
2025,00-0034955,B.Rypien,1,1,-1.2378779940772802,-1.2378779940772802,0.0,1,0,0,0
2025,00-0034721,C.Bojorquez,1,1,-1.804541337362025,-1.804541337362025,0.0,0,0,0,0
2025,00-0039054,M.Mapu,1,1,-2.4826914377044886,-2.4826914377044886,0.0,1,0,0,0
2025,00-0037239,C.Olave,1,1,-3.5951321736210957,-3.5951321736210957,0.0,0,0,1,0
2025,00-0034348,C.Sutton,1,1,-4.031719361392031,-4.031719361392031,0.0,1,0,0,0
2025,00-0033908,C.Kupp,1,1,-5.370166467153467,-5.370166467153467,0.0,0,0,0,0
