season,dropback_player_id,player,dropbacks,games,total_epa,epa_per_dropback,positive_epa_rate,sacks,scrambles,penalty_rows,identity_fallbacks,league_dropbacks,league_epa_per_dropback,epa_above_average_per_dropback,epa_above_average,schedule_adjustment_total,schedule_adjustment_per_dropback,opponent_adjusted_epa_per_dropback,opponent_adjusted_epa_above_average,pass_plus,resampling_dropbacks,resampled_rate_p025,resampled_rate_p975,pass_plus_resampled_p025,pass_plus_resampled_p975,reference_mean_adjusted_epa_db,reference_sd_player_rates,source_pass_plus_manifest
2017,00-0021206,J.McCown,445,13,20.59488341657055,0.04628063689116978,0.451685393258427,39,14,8,0,19356,0.005665880280425992,0.040614756610743784,18.073566691780982,-3.4593926522313936,-0.007773916072430098,0.03850672081873968,14.614174039549589,102.48533902287974,445,-0.10285817399944866,0.1846233985577505,91.78708392958993,113.54320097542748,0.005665880280425988,0.19820740894492533,data/metadata/20260915T175341400908Z/pass_plus_manifest.json
2018,00-0021206,J.McCown,121,4,-29.59620919000144,-0.24459677016530115,0.371900826446281,7,5,4,0,19669,0.056297614668360245,-0.3008943848336614,-36.40822056487303,2.3236498139484763,0.019203717470648564,-0.2253930526946526,-34.08457075092455,80.28683080190487,121,-0.5285797370495617,-0.0023216318361430634,59.069335514439196,95.89773017535244,0.05629761466836027,0.21434199483528435,data/metadata/20260915T175343345511Z/pass_plus_manifest.json
2019,00-0021206,J.McCown,5,1,1.1289297543116845,0.2257859508623369,0.6,0,0,0,0,19839,0.0422891649790085,0.1834967858833284,0.917483929416642,-0.256040109974792,-0.0512080219949584,0.1745779288673785,0.66144381944185,111.15562761430343,,,,,,0.042289164979008496,0.17787716898879768,data/metadata/20260915T175345267639Z/pass_plus_manifest.json
2017,00-0021429,C.Palmer,290,7,-17.149788699920492,-0.05913720241351894,0.43448275862068964,22,1,4,0,19356,0.005665880280425992,-0.06480308269394493,-18.79289398124403,-2.9230384467182384,-0.010079442919718063,-0.069216645333237,-21.71593242796227,94.3330176698034,290,-0.127445106270144,-0.014608143550979714,89.92638666290547,98.46569631735821,0.005665880280425988,0.19820740894492533,data/metadata/20260915T175341400908Z/pass_plus_manifest.json
2018,00-0022787,M.Schaub,7,1,-2.4365082403528504,-0.3480726057646929,0.42857142857142855,0,0,0,0,19669,0.056297614668360245,-0.40437022043305315,-2.830591543031372,-0.08333918785925995,-0.011905598265608565,-0.35997820403030145,-2.9139307308906317,70.86834390396355,,,,,,0.05629761466836027,0.21434199483528435,data/metadata/20260915T175343345511Z/pass_plus_manifest.json
2019,00-0022787,M.Schaub,67,3,21.17538742842086,0.3160505586331471,0.5970149253731343,2,0,1,0,19839,0.0422891649790085,0.27376139365413865,18.34201337482729,-0.9584937830790798,-0.01430587735938925,0.30174468127375786,17.383519591748207,121.87932699033647,,,,,,0.042289164979008496,0.17787716898879768,data/metadata/20260915T175345267639Z/pass_plus_manifest.json
2017,00-0022803,E.Manning,608,15,-58.72597830470636,-0.09658878010642494,0.43585526315789475,32,5,12,0,19356,0.005665880280425992,-0.10225466038685092,-62.17083351520536,4.251861199719005,0.006993192762695732,-0.0895955873437292,-57.91897231548636,92.79077395760028,608,-0.22282241144688936,0.0362226657642084,82.70839423130717,102.31248561643876,0.005665880280425988,0.19820740894492533,data/metadata/20260915T175341400908Z/pass_plus_manifest.json
2018,00-0022803,E.Manning,626,16,21.61258837426928,0.0345249015563407,0.426517571884984,47,4,3,0,19669,0.056297614668360245,-0.021772713112019546,-13.629718408124234,0.4937520384472373,0.00078874127547482,0.03531364283181552,-13.135966369676996,98.53150766003623,626,-0.08699942532804031,0.17320393586022378,89.97184102164485,108.18129372746363,0.05629761466836027,0.21434199483528435,data/metadata/20260915T175343345511Z/pass_plus_manifest.json
2019,00-0022803,E.Manning,153,4,-6.693379583373113,-0.04374757897629485,0.43137254901960786,5,1,1,0,19839,0.0422891649790085,-0.08603674395530336,-13.163621825161414,-1.3703580405264435,-0.008956588500172833,-0.05270416747646769,-14.533979865687858,91.9894160957673,153,-0.12509062294842666,0.02257774621436971,85.88522162127707,98.33777834923715,0.042289164979008496,0.17787716898879768,data/metadata/20260915T175345267639Z/pass_plus_manifest.json
2019,00-0022824,A.Lee,1,1,4.240687240380794,4.240687240380794,1.0,0,0,0,0,19839,0.0422891649790085,4.198398075401785,4.198398075401785,0.021882115685514826,0.021882115685514826,4.262569356066309,4.2202801910873005,455.88717330157345,,,,,,0.042289164979008496,0.17787716898879768,data/metadata/20260915T175345267639Z/pass_plus_manifest.json
2020,00-0022824,A.Lee,1,1,4.014011434279382,4.014011434279382,1.0,0,0,0,0,19932,0.0778852461675433,3.936126188111839,3.936126188111839,-0.023329372324457507,-0.023329372324457507,3.990682061954925,3.9127968157873814,422.2652367043582,,,,,,0.07788524616754329,0.1821231257737363,data/metadata/20260915T175347204551Z/pass_plus_manifest.json
2022,00-0022824,A.Lee,1,1,2.8644769557286054,2.8644769557286054,1.0,0,0,0,0,20210,0.015473245525922667,2.8490037102026826,2.8490037102026826,-0.015257572367621056,-0.015257572367621056,2.8492193833609845,2.8337461378350617,335.1729683184983,,,,,,0.01547324552592266,0.18074437879254537,data/metadata/20260915T175351369838Z/pass_plus_manifest.json
2017,00-0022921,L.Fitzgerald,1,1,1.2412540030200034,1.2412540030200034,1.0,0,0,0,0,19356,0.005665880280425992,1.2355881227395775,1.2355881227395775,0.014806373609895482,0.014806373609895482,1.256060376629899,1.250394496349473,194.62773135011156,,,,,,0.005665880280425988,0.19820740894492533,data/metadata/20260915T175341400908Z/pass_plus_manifest.json
2018,00-0022921,L.Fitzgerald,1,1,3.088042840885464,3.088042840885464,1.0,0,0,0,0,19669,0.056297614668360245,3.031745226217104,3.031745226217104,0.03361582007638941,0.03361582007638941,3.1216586609618533,3.0653610462934937,314.5189314382234,,,,,,0.05629761466836027,0.21434199483528435,data/metadata/20260915T175343345511Z/pass_plus_manifest.json
2017,00-0022924,B.Roethlisberger,589,15,89.28733463321483,0.1515914000563919,0.499151103565365,21,10,9,0,19356,0.005665880280425992,0.1459255197759659,85.95013114804392,1.466638337223712,0.002490048110736353,0.15408144816712827,87.41676948526764,111.23183805363766,589,0.04107673995858753,0.24970108615448994,102.67983370551003,118.46816982067551,0.005665880280425988,0.19820740894492533,data/metadata/20260915T175341400908Z/pass_plus_manifest.json
2018,00-0022924,B.Roethlisberger,708,16,132.31729358377106,0.18688883274543935,0.4985875706214689,24,12,13,0,19669,0.056297614668360245,0.1305912180770791,92.458582398572,4.098386234682718,0.005788681122433218,0.19267751386787257,96.55696863325473,109.54408626067301,708,0.07193549746076101,0.33141812068012017,101.09436436880355,119.25337866407249,0.05629761466836027,0.21434199483528435,data/metadata/20260915T175343345511Z/pass_plus_manifest.json
2019,00-0022924,B.Roethlisberger,64,2,-13.132823471554712,-0.20520036674304237,0.40625,2,1,1,0,19839,0.0422891649790085,-0.24748953172205088,-15.839330030211256,3.085385986269224,0.04820915603545663,-0.15699121070758576,-12.753944043942031,83.19511350280615,,,,,,0.042289164979008496,0.17787716898879768,data/metadata/20260915T175345267639Z/pass_plus_manifest.json
2020,00-0022924,B.Roethlisberger,624,15,46.09074790126722,0.0738633780469026,0.46634615384615385,13,3,10,0,19932,0.0778852461675433,-0.004021868120640704,-2.5096457072798017,-2.5515100013889964,-0.004088958335559289,0.06977441971134331,-5.061155708668798,99.3319772196632,624,-0.03547423421629145,0.16876501200550045,90.6635019658622,107.48502685629802,0.07788524616754329,0.1821231257737363,data/metadata/20260915T175347204551Z/pass_plus_manifest.json
