dropback_player_id,player,first_observed_season,last_observed_season,observed_seasons,qualified_seasons,qualified_seasons_above_100,dropbacks,dropback_weighted_season_pass_plus,pooled_adjusted_epa_per_dropback,sum_season_adjusted_epa_above_average
00-0030520,M.Glennon,2017,2021,5,0,0,548,78.17824447209134,-0.22543520312446358,-148.0070878225365
00-0030524,L.Jones,2017,2017,1,0,0,31,86.47180397612063,-0.1730933651590522,-5.541536608623824
00-0030526,E.Manuel,2017,2017,1,0,0,48,86.62170347185354,-0.1711126191156275,-8.485367971010568
00-0030533,M.Barkley,2018,2020,3,0,0,100,98.18812653356595,0.05313859630864538,-0.062390345107223855
00-0030564,D.Hopkins,2018,2023,3,0,0,5,-5.819717709660813,-1.2440146341129352,-6.3586869580276
00-0030565,G.Smith,2017,2025,8,4,2,2530,97.88697378354624,0.0005522001522605721,-69.99956310164063
00-0030578,C.Patterson,2021,2021,1,0,0,1,43.59621956864861,-0.6552461169381931,-0.6957248988829374
00-0030669,A.Wilson,2018,2021,3,0,0,6,108.98396808231367,0.25696949942056485,1.2776943230285145
00-0031051,J.Brown,2019,2019,1,0,0,1,367.550125077789,3.2150264190747304,3.172737254095722
00-0031062,J.White,2019,2019,1,0,0,1,265.39209131664757,2.003587630081807,1.9612984651027987
00-0031064,T.Savage,2017,2017,1,1,0,245,84.1109604193419,-0.20428914411328106,-51.438980976458225
00-0031076,D.Fales,2017,2019,2,0,0,47,94.034078038929,-0.07014383484583195,-3.599679895632706
00-0031079,P.O'Donnell,2017,2017,1,0,0,1,579.5390007339511,6.3422114018480995,6.336545521567674
00-0031136,C.Boswell,2018,2021,2,0,0,2,113.98755377317457,0.4904153683216985,0.8840543400302927
00-0031235,O.Beckham,2018,2020,3,0,0,5,256.3325514088716,2.2319180510414958,10.884531449745198
00-0031237,T.Bridgewater,2017,2025,7,3,3,1387,101.98486971242465,0.07686515924116143,31.00101130599095
00-0031260,L.Thomas,2018,2020,2,0,0,2,302.7205515000685,2.809026000075444,5.483869139314984
00-0031280,D.Carr,2017,2024,8,8,6,4371,101.85710574750162,0.05655644978028734,92.16026328658755
00-0031288,A.McCarron,2017,2023,5,0,0,74,77.12545225531504,-0.25021385228069093,-20.962578506509086
00-0031325,S.Watkins,2020,2020,1,0,0,1,-70.12435935610256,-1.9876867602449753,-2.065572006412519
00-0031326,B.Ellington,2018,2018,1,0,0,1,65.52066507731385,-0.4363936805264687,-0.49269129519482896
00-0031345,J.Garoppolo,2017,2024,8,3,3,2009,109.45074120185537,0.1502544570291912,234.24697066649267
00-0031363,M.Palardy,2017,2021,3,0,0,3,224.49311898896948,1.4495777058285773,4.260299290281553
