season,dropback_player_id,player,dropbacks,games,total_epa,epa_per_dropback,positive_epa_rate,sacks,scrambles,penalty_rows,identity_fallbacks,league_dropbacks,league_epa_per_dropback,epa_above_average_per_dropback,epa_above_average
2024,00-0039910,J.Daniels,597,17,105.35591726046684,0.17647557330061447,0.48576214405360135,47,72,11,0,20116,0.052350872456481054,0.12412470084413342,74.10244640394765
2024,00-0036389,J.Hurts,437,15,75.21001991794212,0.17210530873670965,0.482837528604119,38,39,8,0,20116,0.052350872456481054,0.1197544362802286,52.3326886544599
2024,00-0036442,J.Burrow,721,17,121.2865044348199,0.1682198397154229,0.5187239944521498,48,22,9,0,20116,0.052350872456481054,0.11586896725894184,83.54152539369707
2024,00-0038416,T.Bagent,2,2,0.31886750092962757,0.15943375046481378,0.5,0,0,0,0,20116,0.052350872456481054,0.10708287800833273,0.21416575601666546
2024,00-0033873,P.Mahomes,652,16,103.48635474333672,0.1587214029805778,0.5076687116564417,36,37,7,0,20116,0.052350872456481054,0.10637053052409674,69.35358590171107
2024,00-0033949,J.Dobbs,51,2,7.2923370339421805,0.14298700066553294,0.5098039215686274,2,3,0,0,20116,0.052350872456481054,0.09063612820905188,4.622442538661646
2024,00-0031280,D.Carr,295,10,41.81055309713359,0.14173068846485964,0.43728813559322033,8,8,6,0,20116,0.052350872456481054,0.08937981600837859,26.36704572247168
2024,00-0039917,M.Penix,113,5,15.410137770087328,0.13637290062024185,0.4778761061946903,4,4,2,0,20116,0.052350872456481054,0.0840220281637608,9.494489182504969
2024,00-0036264,J.Love,451,15,59.050819980180414,0.13093308199596543,0.4745011086474501,14,12,12,0,20116,0.052350872456481054,0.07858220953948437,35.44057650230746
2024,00-0036355,J.Herbert,573,17,74.45434490888152,0.1299377747100899,0.4537521815008726,41,31,5,0,20116,0.052350872456481054,0.07758690225360886,44.45729499131788
2024,00-0035228,K.Murray,611,17,67.89961298659588,0.11112866282585251,0.49918166939443537,30,41,10,0,20116,0.052350872456481054,0.05877779036937146,35.91322991568596
2024,00-0034869,S.Darnold,620,17,52.99291552288842,0.08547244439175551,0.49516129032258066,48,28,10,0,20116,0.052350872456481054,0.03312157193527446,20.535374599870167
2024,00-0026498,M.Stafford,547,16,38.756686665390454,0.07085317489102459,0.48811700182815354,28,3,7,0,20116,0.052350872456481054,0.01850230243454354,10.120759431695319
2024,00-0036945,J.Fields,195,7,13.566171416652384,0.06957010982898659,0.4358974358974359,16,19,8,0,20116,0.052350872456481054,0.01721923737250554,3.357751287638578
2024,00-0031345,J.Garoppolo,45,1,3.002347296852623,0.06671882881894717,0.4888888888888889,3,1,0,0,20116,0.052350872456481054,0.014367956362466114,0.6465580363109753
2024,00-0038102,K.Pickett,49,4,3.0723713827437322,0.0627014567906884,0.3877551020408163,4,3,0,0,20116,0.052350872456481054,0.010350584334207352,0.5071786323761605
2024,00-0039732,B.Nix,640,17,38.95707177327177,0.060870424645737144,0.4375,24,50,8,0,20116,0.052350872456481054,0.00851955218925609,5.452513401123895
2024,00-0030565,G.Smith,650,17,23.897968278163194,0.036766105043327994,0.47384615384615386,50,24,9,0,20116,0.052350872456481054,-0.01558476741315306,-10.130098818549488
2024,00-0029604,K.Cousins,480,14,17.133125602520035,0.03569401167191674,0.48125,28,3,4,0,20116,0.052350872456481054,-0.016656860784564312,-7.99529317659087
2024,00-0038579,A.O'Connell,255,9,6.957532488460273,0.027284441131216756,0.45098039215686275,10,3,2,0,20116,0.052350872456481054,-0.025066431325264298,-6.391939987942396
2024,00-0026158,J.Flacco,269,7,4.050267898661813,0.015056757987590383,0.46096654275092935,18,3,3,0,20116,0.052350872456481054,-0.03729411446889067,-10.03211679213159
2024,00-0034771,M.Rudolph,249,8,2.9692487740900413,0.011924693871847556,0.4819277108433735,11,13,0,0,20116,0.052350872456481054,-0.0404261785846335,-10.066118467573741
2024,00-0029263,R.Wilson,387,11,3.1340429312891853,0.008098302148034071,0.42377260981912146,33,20,6,0,20116,0.052350872456481054,-0.04425257030844698,-17.12574470936898
2024,00-0023459,A.Rodgers,640,17,3.2855196257955948,0.005133624415305617,0.4328125,40,16,12,0,20116,0.052350872456481054,-0.047217248041175434,-30.219038746352282
