column,dtype,null_count,nan_count,null_fraction
temp,Int32,16450,0,0.33729060302228786
wind,Int32,16450,0,0.33729060302228786
home_coach,String,0,0,0.0
away_coach,String,0,0,0.0
stadium_id,String,0,0,0.0
game_stadium,String,0,0,0.0
aborted_play,Float64,0,0,0.0
success,Float64,570,0,0.011687273174632466
passer,String,26705,0,0.5475590002255438
passer_jersey_number,Int32,26702,0,0.5474974882614668
rusher,String,34235,0,0.7019540300588465
rusher_jersey_number,Int32,33473,0,0.6863299911832852
receiver,String,30233,0,0.6198970699801112
receiver_jersey_number,Int32,30058,0,0.6163088720756187
pass,Float64,0,0,0.0
rush,Float64,0,0,0.0
first_down,Float64,1511,0,0.03098152590678887
special,Float64,0,0,0.0
play,Float64,0,0,0.0
passer_id,String,26705,0,0.5475590002255438
rusher_id,String,34235,0,0.7019540300588465
receiver_id,String,30233,0,0.6198970699801112
name,String,12169,0,0.2495130302843903
jersey_number,Int32,12626,0,0.25888335281212194
id,String,12169,0,0.2495130302843903
fantasy_player_name,String,15842,0,0.32482417830267984
fantasy_player_id,String,15842,0,0.32482417830267984
fantasy,String,14480,0,0.296897746611716
fantasy_id,String,14480,0,0.296897746611716
out_of_bounds,Float64,0,0,0.0
home_opening_kickoff,Float64,0,0,0.0
qb_epa,Float64,570,0,0.011687273174632466
xyac_epa,Float64,32447,0,0.6652928994689468
xyac_mean_yardage,Float64,32447,0,0.6652928994689468
xyac_median_yardage,Int32,32447,0,0.6652928994689468
xyac_success,Float64,32447,0,0.6652928994689468
xyac_fd,Float64,32447,0,0.6652928994689468
xpass,Float64,11707,0,0.2400401878165303
pass_oe,Float64,12752,0,0.2614668553033565
