season,dropback_player_id,player,dropbacks,games,total_epa,epa_per_dropback,positive_epa_rate,sacks,scrambles,penalty_rows,identity_fallbacks,league_dropbacks,league_epa_per_dropback,epa_above_average_per_dropback,epa_above_average,schedule_adjustment_total,schedule_adjustment_per_dropback,opponent_adjusted_epa_per_dropback,opponent_adjusted_epa_above_average,pass_plus,resampling_dropbacks,resampled_rate_p025,resampled_rate_p975,pass_plus_resampled_p025,pass_plus_resampled_p975
2019,00-0028118,T.Taylor,6,2,3.6523738623363897,0.608728977056065,0.5,0,0,0,0,19839,0.0422891649790085,0.5664398120770565,3.398638872462339,-0.12450497273889333,-0.020750828789815556,0.5879781482662494,3.2741338997234455,146.01678110710267,,,,,
2019,00-0031235,O.Beckham,2,2,0.9029249218292534,0.4514624609146267,0.5,0,0,0,0,19839,0.0422891649790085,0.40917329593561824,0.8183465918712365,0.1158510905632276,0.0579255452816138,0.5093880061962405,0.9341976824344641,139.3894430526929,,,,,
2019,00-0034796,L.Jackson,459,15,170.16778299432877,0.37073591066302564,0.5010893246187363,23,37,7,0,19839,0.0422891649790085,0.3284467456840171,150.75705626896388,-0.5925780889974249,-0.0012910198017373092,0.36944489086128834,150.16447817996647,127.58834040440149,459,0.1886129004030693,0.592593525278761,112.33916664987589,146.40598594761838
2019,00-0022787,M.Schaub,67,3,21.17538742842086,0.3160505586331471,0.5970149253731343,2,0,1,0,19839,0.0422891649790085,0.27376139365413865,18.34201337482729,-0.9584937830790798,-0.01430587735938925,0.30174468127375786,17.383519591748207,121.87932699033647,,,,,
2019,00-0033873,P.Mahomes,524,14,146.50830187794733,0.2795959959502812,0.5038167938931297,17,23,13,0,19839,0.0422891649790085,0.23730683097127267,124.34877942894687,-0.43853536798908754,-0.0008368995572310831,0.2787590963930501,123.91024406095778,119.9410019361957,524,0.1555922309429264,0.40014752550972,109.554604444856,130.17742770742393
2019,00-0020531,D.Brees,385,11,93.92994223985643,0.24397387594767905,0.5402597402597402,12,0,4,0,19839,0.0422891649790085,0.20168471096867055,77.64861372293815,1.5011642432917858,0.003899127904653989,0.24787300385233305,79.14977796622993,117.33644402275189,385,0.028504004687434605,0.43412030938398477,98.83752701063827,133.04227967808953
2019,00-0029701,R.Tannehill,329,11,74.89469928783812,0.22764346288096693,0.5562310030395137,31,15,7,0,19839,0.0422891649790085,0.18535429790195843,60.981564009744325,-2.6759994818238253,-0.008133737026820138,0.2195097258541468,58.3055645279205,114.94462964662142,329,0.06667023075942805,0.39630181727889785,102.05600296421024,129.85312738383396
2019,00-0026498,M.Stafford,316,8,69.64530322725527,0.2203965292001749,0.4936708860759494,18,9,0,0,19839,0.0422891649790085,0.1781073642211664,56.281927093888584,-4.828268919844484,-0.015279332024824316,0.2051171971753506,51.4536581740441,113.7309385843607,316,0.1539233279414381,0.25683538502404013,109.41386943560981,118.09222239689541
2019,00-0033077,D.Prescott,638,16,126.23104716442583,0.19785430590035397,0.5235109717868338,23,20,16,0,19839,0.0422891649790085,0.15556514092134546,99.2505599078184,-4.6714502301565375,-0.007322022304320591,0.19053228359603339,94.57910967766186,112.50102411622828,638,0.07462646118538432,0.3242838065065234,102.72693480480446,123.78000306030907
2019,00-0021206,J.McCown,5,1,1.1289297543116845,0.2257859508623369,0.6,0,0,0,0,19839,0.0422891649790085,0.1834967858833284,0.917483929416642,-0.256040109974792,-0.0512080219949584,0.1745779288673785,0.66144381944185,111.15562761430343,,,,,
