season,dropback_player_id,player,dropbacks,games,total_epa,epa_per_dropback,positive_epa_rate,sacks,scrambles,penalty_rows,identity_fallbacks,league_dropbacks,league_epa_per_dropback,epa_above_average_per_dropback,epa_above_average,schedule_adjustment_total,schedule_adjustment_per_dropback,opponent_adjusted_epa_per_dropback,opponent_adjusted_epa_above_average
2021,00-0035993,T.Huntley,228,6,-13.887236892228072,-0.060908933737842424,0.4298245614035088,18,25,4,0,20799,0.04047878194474436,-0.10138771568258678,-23.116399175629788,2.728490723884839,0.011967064578442276,-0.048941869159400145,-20.38790845174495
2021,00-0034177,T.Boyle,95,3,-3.0206660409439827,-0.031796484641515604,0.4105263157894737,0,1,2,0,20799,0.04047878194474436,-0.07227526658625996,-6.866150325694697,-2.235704092153716,-0.023533727285828587,-0.05533021192734419,-9.101854417848413
2021,00-0028118,T.Taylor,177,6,-7.8080883734726125,-0.04411349363543849,0.423728813559322,13,15,2,0,20799,0.04047878194474436,-0.08459227558018284,-14.972832777692364,-2.3582477967077033,-0.01332343387970454,-0.05743692751514303,-17.33108057440007
2021,00-0035704,D.Lock,126,6,-5.288658447086654,-0.041973479738782966,0.3968253968253968,9,7,2,0,20799,0.04047878194474436,-0.08245226168352732,-10.388984972124444,-2.0331517286000578,-0.01613612483015919,-0.05810960456894215,-12.4221367007245
2021,00-0033106,J.Goff,535,14,-35.712100593461976,-0.06675158989432145,0.4504672897196262,35,11,12,0,20799,0.04047878194474436,-0.10723037183906581,-57.368248933900205,3.6604473731466847,0.006841957706816233,-0.05990963218750522,-53.70780156075352
2021,00-0022924,B.Roethlisberger,644,16,-44.2604722817656,-0.06872744143131304,0.39596273291925466,38,3,14,0,20799,0.04047878194474436,-0.1092062233760574,-70.32880785418097,3.9099878480124355,0.006071409701882664,-0.06265603172943038,-66.41882000616853
2021,00-0036264,J.Love,70,4,-6.626141075675543,-0.09465915822393632,0.4142857142857143,3,5,0,0,20799,0.04047878194474436,-0.1351379401686807,-9.459655811807648,0.17185156356177123,0.0024550223365967317,-0.09220413588733958,-9.287804248245877
2021,00-0031395,G.Gilbert,33,1,-2.7503931065014506,-0.08334524565155911,0.36363636363636365,2,0,0,0,20799,0.04047878194474436,-0.12382402759630347,-4.086192910678014,-0.35874609955961073,-0.01087109392604881,-0.09421633957760792,-4.444939010237625
2021,00-0036971,T.Lawrence,663,17,-59.17700039364243,-0.08925641085013941,0.4434389140271493,32,32,8,0,20799,0.04047878194474436,-0.12973519279488377,-86.01443282300794,-6.734634405077735,-0.010157819615501862,-0.09941423046564127,-92.74906722808566
2021,00-0033119,J.Brissett,256,8,-22.55911069546031,-0.08812152615414183,0.42578125,19,13,5,0,20799,0.04047878194474436,-0.12860030809888617,-32.92167887331486,-3.3552478471608516,-0.013106436902972076,-0.1012279630571139,-36.276926720475714
2021,00-0027973,A.Dalton,265,8,-28.886753766374234,-0.10900661798631786,0.43018867924528303,18,12,5,0,20799,0.04047878194474436,-0.14948539993106222,-39.61363098173149,1.13789864845078,0.004293957163965208,-0.10471266082235266,-38.47573233328071
2021,00-0036945,J.Fields,349,12,-42.966680046449774,-0.12311369640816554,0.42406876790830944,36,45,5,0,20799,0.04047878194474436,-0.1635924783529099,-57.093774945165556,3.085842235235013,0.00884195482875362,-0.11427174157941192,-54.00793270993054
2021,00-0036898,D.Mills,433,13,-56.0132853201117,-0.12936093607416096,0.42494226327944573,31,10,9,0,20799,0.04047878194474436,-0.16983971801890532,-73.54059790218601,1.0037165058856048,0.0023180519766411198,-0.12704288409751985,-72.5368813963004
2021,00-0034869,S.Darnold,464,12,-70.30980523908501,-0.15152975267044183,0.41594827586206895,35,23,7,0,20799,0.04047878194474436,-0.1920085346151862,-89.09196006144639,5.659696848651081,0.012197622518644572,-0.13933213015179727,-83.4322632127953
2021,00-0033275,P.Walker,74,5,-12.572140277822749,-0.16989378753814527,0.3783783783783784,7,2,0,0,20799,0.04047878194474436,-0.21037256948288963,-15.567570141733832,0.3392717535542482,0.0045847534264087594,-0.1653090341117365,-15.228298388179583
2021,00-0036913,K.Toney,4,4,-0.828378256643191,-0.20709456416079774,0.25,1,0,0,0,20799,0.04047878194474436,-0.2475733461055421,-0.9902933844221684,0.13827617107713222,0.034569042769283055,-0.1725255213915147,-0.8520172133450362
